submissionID,title,authors,track,acceptanceStatus,submissionType
2994,"MOSEAS: A Multimodal Language Dataset for Spanish, Portuguese, German and French","AmirAli Bagher Zadeh, Yansheng Cao, Simon Hessner, Paul Pu Liang, Soujanya Poria and Louis-Philippe Morency",Speech and Multimodality,Accept,Long Paper
3580,MovieChats: Chat like Humans in a Closed Domain,"Hui Su, Xiaoyu Shen, Zhou Xiao, Zheng Zhang, Ernie Chang, Cheng Zhang, Cheng Niu and Jie Zhou",Dialog and Interactive Systems,Accept,Long Paper
802,Multi-Dimensional Gender Bias Classification,"Emily Dinan, Angela Fan, Ledell Wu, Jason Weston, Douwe Kiela and Adina Williams",NLP Applications,Accept,Long Paper
286,Multi-document Summarization with Maximal Marginal Relevance-guided Reinforcement Learning,"Yuning Mao, Yanru Qu, Yiqing Xie, Xiang Ren and Jiawei Han",Information Retrieval and Text Mining,Accept,Long Paper
2125,Multi-Fact Correction in Abstractive Text Summarization,"Yue Dong, Shuohang Wang, Zhe Gan, Yu Cheng, Jackie Chi Kit Cheung and Jingjing Liu",Summarization,Accept,Long Paper
1123,Multi-hop Inference for Question-driven Summarization,"Yang Deng, Wenxuan Zhang and Wai Lam",Question Answering,Accept,Long Paper
3185,Multi-Instance Multi-Label Learning Networks for Aspect-Category Sentiment Analysis,"Yuncong Li, Cunxiang Yin, Sheng-hua Zhong and Xu Pan","Sentiment Analysis, Stylistic Analysis, and Argument Mining",Accept,Long Paper
392,Multi-modal Multi-label Emotion Detection with Modality and Label Dependence,"Dong Zhang, Xincheng Ju, Junhui Li, Shoushan Li, Qiaoming Zhu and Guodong Zhou","Sentiment Analysis, Stylistic Analysis, and Argument Mining",Accept,Long Paper
2261,Multi-resolution Annotations for Emoji Prediction,"Weicheng Ma, Ruibo Liu, Lili Wang and Soroush Vosoughi",NLP Applications,Accept,Long Paper
3567,Multi-Stage Pre-training for Automated Chinese Essay Scoring,"Wei Song, Kai Zhang, Ruiji Fu, Lizhen Liu, Ting Liu and Miaomiao Cheng",NLP Applications,Accept,Long Paper
2253,Multi-Step Inference for Reasoning Over Paragraphs,"Jiangming Liu, Matt Gardner, Shay B. Cohen and Mirella Lapata",Question Answering,Accept,Long Paper
362,Multi-Task Learning for Logically Dependent Tasks from the Perspective of Causal Inference,"Wenqing Chen, Jidong Tian, Liqiang Xiao, Hao He and Yaohui Jin",Machine Learning for NLP,Accept,Long Paper
1680,Multi-task Learning for Multilingual Neural Machine Translation,"Yiren Wang, ChengXiang Zhai and Hany Hassan",Machine Translation and Multilinguality,Accept,Long Paper
215,Multi-turn Response Selection using Dialogue Dependency Relations,"Qi Jia, Yizhu Liu, Siyu Ren, Kenny Zhu and Haifeng Tang",Dialog and Interactive Systems,Accept,Long Paper
1798,Multi-Unit Transformers for Neural Machine Translation,"Jianhao Yan, Fandong Meng and Jie Zhou",Machine Translation and Multilinguality,Accept,Long Paper
645,Multi-View Sequence-to-Sequence Models with Conversational Structure for Abstractive Dialogue Summarization,Jiaao Chen and Diyi Yang,Summarization,Accept,Long Paper
668,Multi-view Story Characterization from Movie Plot Synopses and Reviews,"Sudipta Kar, Gustavo Aguilar, Mirella Lapata and Thamar Solorio","Sentiment Analysis, Stylistic Analysis, and Argument Mining",Accept,Long Paper
1032,MultiCQA: Zero-Shot Transfer of Self-Supervised Text Matching Models on a Massive Scale,"Andreas Rücklé, Jonas Pfeiffer and Iryna Gurevych","Semantics: Sentence-level Semantics, Textual Inference and Other areas",Accept,Long Paper
825,Multilevel Text Alignment with Cross-Document Attention,"Xuhui Zhou, Nikolaos Pappas and Noah A. Smith",Machine Learning for NLP,Accept,Long Paper
870,Multilingual AMR-to-Text Generation,Angela Fan and Claire Gardent,Language Generation,Accept,Long Paper
3136,Multimodal Joint Attribute Prediction and Value Extraction for E-commerce Product,"Tiangang Zhu, Yue Wang, Haoran Li, Youzheng Wu, Xiaodong He and Bowen Zhou",Information Extraction,Accept,Long Paper
376,Multimodal Routing: Improving Local and Global Interpretability of Multimodal Language Analysis,"Yao-Hung Hubert Tsai, Martin Ma, Muqiao Yang, Ruslan Salakhutdinov and Louis-Philippe Morency",Speech and Multimodality,Accept,Long Paper
628,Multistage Fusion with Forget Gate for Multimodal Summarization in Open-Domain Videos,"Nayu Liu, Xian Sun, Hongfeng Yu, Wenkai Zhang and Guangluan Xu",Speech and Multimodality,Accept,Long Paper
3183,MUTANT: A Training Paradigm for Out-of-Distribution Generalization in Visual Question Answering,"Tejas Gokhale, Pratyay Banerjee, Chitta Baral and Yezhou Yang","Language Grounding to Vision, Robotics and Beyond",Accept,Long Paper
989,Named Entity Recognition Only from Word Embeddings,"Ying Luo, Hai Zhao and Junlang Zhan",Information Retrieval and Text Mining,Accept,Long Paper
3049,Natural Language Processing for Achieving Sustainable Development: the Case of Neural Labelling to Enhance Community Profiling,"Costanza Conforti, Stephanie Hirmer, Dai Morgan, Marco Basaldella and Yau Ben Or",NLP Applications,Accept,Long Paper
